,SPXT,JP,EM,EU,BOND,TIP,REIT,GOLD,WOOD,XLE,MWXO,IBOXHY,IBOXIG,JGAGGUSD,JPEICORE,FXY,FXE,FXB,UUP
2016/5/31,3957.95,26027.2,349.56,258.856,124.9513,286.1535,1071.42,1212.1,1665.36,63.5807,1674.61,235.7339,262.5276,550.318,484.995,110.73,1.112,1.4482,95.891
2016/6/30,3968.21,23563.61,363.531,242.783,133.6159,292.1017,1137.28,1320.75,1570.99,65.311,1653.23,237.6301,269.832,565.956,502.941,103.2,1.1103,1.3313,96.143
2016/7/29,4114.51,25068.29,381.825,256.864,136.4253,294.6339,1180.09,1342,1692.49,64.4879,1721.79,243.2,273.8281,570.008,510.544,102.06,1.1176,1.3228,95.53
2016/8/31,4120.29,25566.82,391.314,259.292,135.0429,293.3123,1140.61,1309.25,1719.59,65.5694,1719.52,248.5216,274.524,567.397,520.325,103.43,1.1158,1.3138,96.022
2016/9/30,4121.06,25078.37,396.346,261.669,133.006,294.9179,1124.24,1322.5,1726.72,67.9872,1725.67,249.7184,273.4669,569.923,522.283,101.35,1.124,1.2977,95.463
2016/10/31,4045.89,26566.39,397.291,258.624,127.1796,293.7379,1068.87,1272,1739.6,66.0712,1690.92,249.5815,269.9774,555.122,514.924,104.82,1.0981,1.2244,98.445
2016/11/30,4195.73,27917.34,379.003,249.496,116.7333,288.101,1045.16,1178.1,1806.55,71.6653,1712.09,248.5018,261.5695,534.108,492.828,114.46,1.0588,1.2506,101.5
2016/12/30,4278.66,29187.34,379.84,265.297,116.1925,287.8181,1089.28,1145.9,1866.96,72.9061,1751.22,253.1342,263.2767,532.418,499.54,116.96,1.052,1.2357,102.21
2017/1/31,4359.81,29077.97,400.626,269.128,117.1386,290.2378,1091.81,1212.8,1904.73,70.5636,1792.4,255.8861,263.7708,536.723,507.076,112.8,1.0797,1.2579,99.512
2017/2/28,4532.93,29214.45,412.89,271.591,118.9949,291.6048,1139.69,1255.6,1967.33,69.0923,1838.7,259.7188,267.3521,539.502,517.548,112.77,1.0576,1.2381,101.12
2017/3/31,4538.21,29096.37,423.313,288.148,118.2153,291.4488,1124.31,1244.85,1994.92,68.0656,1853.69,259.0158,266.583,540.248,519.354,111.39,1.0653,1.2552,100.35
2017/4/28,4584.82,29538.81,432.58,300.069,120.0746,293.1729,1130.69,1266.45,2059.68,66.0597,1878.28,261.579,269.7339,546.576,527.82,111.49,1.0897,1.2951,99.05
2017/5/31,4649.34,30237.31,445.369,314.71,122.3413,293.0471,1130.4,1266.2,2100.07,63.7227,1911.74,264.1089,273.6432,554.903,532.417,110.78,1.1244,1.289,96.922
2017/6/30,4678.36,30884.9,449.853,311.124,123.31,290.2686,1153.47,1242.25,2147.82,63.6517,1916.43,264.3862,274.692,554.577,531.147,112.39,1.1426,1.3026,95.628
2017/7/31,4774.56,30720.17,476.668,322.66,122.4979,291.5618,1167.52,1267.55,2186.99,65.3185,1961.1,267.2293,276.8091,562.952,535.848,110.26,1.1842,1.3215,92.863
2017/8/31,4789.18,30309.05,487.301,323.87,126.6731,294.664,1175.34,1311.75,2233.88,61.7398,1959.74,266.7879,278.9128,568.83,545.766,109.98,1.191,1.293,92.668
2017/9/29,4887.97,31607.78,485.363,336.34,123.7303,292.776,1166.5,1283.1,2342.31,68.0267,2000.55,268.8817,278.6756,564.155,545.38,112.51,1.1814,1.3402,93.076
2017/10/31,5002.03,34186.47,502.378,339.478,123.683,293.4023,1167.49,1270.15,2449.59,67.4605,2036.8,269.6906,279.762,562.519,547.182,113.64,1.1646,1.3282,94.552
2017/11/30,5155.44,35300.22,503.386,340.378,124.6022,293.783,1197.53,1280.2,2461.65,68.6426,2077.36,268.6192,279.1485,568.129,547.51,112.54,1.1904,1.3526,93.047
2017/12/29,5212.76,35413.76,521.456,339.753,126.5969,296.4726,1196.5,1291,,72.26,2103.45,269.1327,282.4644,569.95,551.774,112.69,1.2005,1.3521,92.124
2018/1/31,5511.21,35934.98,564.918,363.634,122.4754,293.9305,1162.37,1345.05,,74.85,2213.24,270.3475,279.0706,574.123,551.188,,,,
2018/2/28,5308.09,34351.49,538.864,342.607,118.511,291.0739,1084.78,1317.85,,66.74,2117.99,,,,,,,,
2018/3/5,5265.24,32971.41,532.98,334.381,118.35,291.7389,1079.42,1322.3,,66.95,2089.84,,,,,,,,
